naziv;šifra;marka;neto kolièina;jedinica mjere;MPC (EUR);cijena za jedinicu mjere (EUR);MPC za vrijeme posebnog oblika prodaje (EUR);Najniža cijena u posljednjih 30 dana (EUR);sidrena cijena na 2.5.2025. (EUR);barkod;kategorija proizvoda
NJOKI CUCINA ITALIA.1 kg ;1010;;1,0000;kg;3,69;3,69;;;3,69;8000506014107;Hrana
PUDER BECUTAN ZA DJECU 100 g;1040;Becutan;0,1000;kg;3,25;32,50;;;3,25;5310001139797;Kozmetika
ULJE BECUTAN ZA DJECU 200 ml;1041;Becutan;0,2000;L;3,89;19,45;;;3,89;5310001166380;Kozmetika
KUPKA BECUTAN ZA DJECU 200 ml;1042;Becutan;0,2000;L;3,49;17,45;;;3,49;5310001166397;Kozmetika
MLIJEK.BECUTAN ZA DJECU 200 ml;1043;Becutan;0,2000;L;3,49;17,45;;;3,49;5310001166403;Kozmetika
ŠAMPON BECUTAN ZA DJECU 200 ml;1044;Becutan;0,2000;L;3,29;16,45;;;3,29;5310001166410;Kozmetika
SAPUN BECUTAN DJEÈJI 90 g;1045;Becutan;0,0900;kg;1,15;12,78;;;1,15;5310001138004;Kozmetika
KREMA BECUTAN ZA DJECU 50 ml;1047;Becutan;0,0500;L;2,69;53,80;;;2,69;5310001146887;Kozmetika
KREMA BECUTAN ZA DJECU 100 ml;1050;Becutan;0,1000;L;3,89;38,90;;;3,89;5310001146894;Kozmetika
DRES.DEVELEY SA ZAÈ 75 ml VREÆ;1059;Develey;0,0750;L;0,79;10,53;;;0,79;4006824028219;Hrana
DRES.DEVELEY JOG 75 ml VREÆICA;1078;Develey;0,0750;l;0,79;10,53;;;0,79;4006824018111;Hrana
BRAŠNO T-1100 FARINA 1 kg;1079;;1,0000;kg;0,99;0,99;;;1,12;3859890160144;Hrana
MED MELBI LIPA 450 g;1090;Melbi;0,4500;kg;5,99;13,31;;;8,62;38502095;Hrana
MED MELBI BAGREM 450 g;1092;Melbi;0,4500;kg;7,99;17,76;;;10,61;38502125;Hrana
KR.DEZODORANTSKA LIDERA 50 ml;1104;Lidera;0,0500;L;4,09;81,80;;;3,58;3838980810121;Kozmetika
ŠEÆER SMEÐI LARA PVC 1 kg;1130;;1,0000;kg;3,99;3,99;;;3,99;3859890118145;Hrana
MED MELBI CVJETNI 450 g;1141;Melbi;0,4500;kg;5,99;13,31;;;8,22;38502002;Hrana
MASLAC BAYERNLAND 250 g ;1168;Bayernland;0,2500;kg;2,99;11,96;;;2,69;4002174000233;Hrana
JOG.VOÆ.JOGOB.CLASS.ZOTT 150 g;1187;Zott;0,1500;kg;0,69;4,60;;;0,66;4014500503646;Hrana
JOG.VOÆ.JOGOB.EXOTI.ZOTT 150 g;1188;Zott;0,1500;kg;0,75;5,00;;;0,79;4014500503684;Hrana
PIVO BUDWEISER PR. 0,5 L LIM;1205;Budweiser Budvar;0,5000;L;1,58;3,16;;;1,59;8594403709797;Piæa
LIKER JAGERMEISTER 1 L;1210;;1,0000;l;22,29;22,29;;;22,39;4067700015013;Piæa
LIKER JAGERMEISTER 0,7 L;1212;Jägermeister;0,7000;l;13,99;19,99;;;16,99;4067700015020;Piæa
SREDSTVO PERMETAL 650 ml ;1269;Permetal;0,6500;L;3,49;5,37;;;2,89;3850111753596;Sredstva za èišæenje
SPUŽVA GLITZI CRYSTAL,VILEDA;1280;;1,0000;kom;1,99;1,99;;;1,99;3838447000294;Proizvodi za kuæanstvo
NAVLAKA ZA BR.ULTRAMAX VILEDA;1323;;1,0000;kom;12,99;12,99;;;12,99;4023103201262;Proizvodi za kuæanstvo
SPUŽVA RAINBOW 10/1,VILEDA;1334;;10,0000;kom;4,29;0,43;;;4,29;4023103242944;Proizvodi za kuæanstvo
SPUŽVA PURACTIVE,2/1,VILEDA;1336;;2,0000;kom;1,99;1,00;;;2,19;4023103083943;Proizvodi za kuæanstvo
SET KRPA SPUŽ.3/1,VILEDA ;1343;;3,0000;kom;4,99;1,66;;;4,99;3838447000072;Proizvodi za kuæanstvo
RUKAVICE GRIFFIGE M,VILEDA;1364;;1,0000;kom;5,99;5,99;;;5,99;8001940003351;Proizvodi za kuæanstvo
DRŠKA ZA METLU VILEDA;1378;;1,0000;kom;5,97;5,97;;;5,97;4003790103780;Proizvodi za kuæanstvo
KAVA MLJEVENA ANAMARIA 500 g;1433;Anamarija;0,5000;kg;9,49;18,98;;;9,49;3858881770034;Piæa
KAVA ANAMARIA 250 g ;1436;Anamarija;0,2500;kg;4,99;19,96;;;4,99;3858881770027;Piæa
MOÈO SUPER 3D RESE;1459;;1,0000;kom;12,99;12,99;;;12,99;4023103072213;Proizvodi za kuæanstvo
KANTA S CJEDILOM SUPER MOÈO;1460;;1,0000;kom;24,99;24,99;;;24,99;4003790105111;Proizvodi za kuæanstvo
LOS.NIVEA VISAGE ZA ODS.125 ml;1594;Nivea;0,1250;L;8,59;68,72;;;8,59;4005900090942;Kozmetika
DEO ROLL ON NIVEA DRY CO.50 ml;1776;Nivea;0,0500;L;4,99;99,80;;;4,99;42241706;Kozmetika
DEO ROLL ON NIVEA FRESH 50 ml;1784;Nivea;0,0500;L;2,99;59,80;;;4,99;42242864;Kozmetika
CAPPUCCINO ANAMARIA 200 g;1916;Anamarija;0,2000;kg;2,49;12,45;;;2,59;3858881770447;Piæa
KREMA INTEZIV.NIVEA MEN 50 ml;1962;Nivea;0,0500;L;10,99;219,80;;;10,99;4005808789382;Kozmetika
LABELLO CLASSIC 4,8 g;1975;Labello;1,0000;kom;;1,99;1,99;2,99;2,99;9005800362861;Kozmetika
LABELLO MED REPAIR 4,8 g;1983;Labello;1,0000;kom;;1,49;1,49;1,99;3,49;9005800362908;Kozmetika
FLIPS BOBI 40 g  ;2094;Bobi;0,0400;kg;0,69;17,25;;;0,59;3858891590004;Hrana
FLIPS BOBI 90 g ;2095;Bobi;0,0900;kg;1,19;13,22;;;0,95;3858891590042;Hrana
PAŠTETA ARGETA KOKOŠJA 95 g;2110;Argeta;0,0950;kg;1,49;15,68;;;1,39;3838975567009;Hrana
HRANA ZA HRÈKE  HOBBY 500 g ;2159;Hobby;0,5000;kg;1,89;3,78;;;1,85;3838964055555;Proizvodi za kuæanstvo
HRANA ZA ZAMORCE HOBBY 500 g;2161;Hobby;0,5000;kg;1,89;3,78;;;1,85;3838964055609;Proizvodi za kuæanstvo
HRANA ZA KUNIÆE HOBBY500 g ;2162;Hobby;0,5000;kg;1,89;3,78;;;1,85;3838964109487;Proizvodi za kuæanstvo
HRANA ZA PAPIGE HOBBY 500 g;2165;Hobby;0,5000;kg;1,99;3,98;;;1,92;3838964001200;Proizvodi za kuæanstvo
HRANA ZA SREDNJE PAPIGE 500 g;2166;Hobby;0,5000;kg;1,89;3,78;;;1,85;3838964001101;Proizvodi za kuæanstvo
BLAZINICE LOLETE SENSITIV 85/1;2190;Lola;85,0000;kom;1,65;0,02;;;1,65;3858881100244;Toaletne potrepštine
ULOŠCI LOLA HIGI.SPECIJAL 10/1;2195;Lola;10,0000;kom;2,29;0,23;;;1,65;3858881100060;Toaletne potrepštine
ULOŠCI LOLA HIGIJENSKI 10/1;2198;Lola;10,0000;kom;2,29;0,23;;;1,65;3858881100053;Toaletne potrepštine
PIJESAK ZA MAÈKE CLEAN 5 kg;2216;Hobby;1,0000;kom;4,19;4,19;;;4,19;3838964112159;Proizvodi za kuæanstvo
VATA LOLA SENSITIVE 50 g;2227;Lola;0,0500;kg;1,29;25,80;;;1,19;3858881100015;Toaletne potrepštine
VATA LOLA CIK-CAK 100 g;2229;Lola;0,1000;kg;2,05;20,50;;;1,79;3858881100619;Toaletne potrepštine
VATA LOLA SENSITIVE 100 g;2230;Lola;0,1000;kg;2,09;20,90;;;1,95;3858881100022;Toaletne potrepštine
PUDER ZA TI.FELCE AZZURA 100 g;2328;Felce Azzurra;0,1000;kg;1,59;15,90;;;1,79;8001280026102;Kozmetika
KAVA BARCAFFE 100 g ;2379;Barcaffe;0,1000;kg;2,99;29,90;;;2,79;3838975531628;Piæa
PAŠTETA ARGETA KOKOŠJA 45 g;2497;Argeta;0,0450;kg;1,05;23,33;;;0,93;38381423;Hrana
PAŠTETA ARGETA JETRENA 95 g;2521;Argeta;0,0950;kg;1,49;15,68;;;1,39;3838975567030;Hrana
MIX ZA RIŽOTO ZMH 350 g ;3188;;0,3500;kg;3,39;9,69;;;3,39;3859889284042;Hrana
DAGNJE FROZY 350 g;3202;Frozy;0,3500;kg;3,49;9,97;;;3,49;3859889284301;Hrana
KOZICE OÈIŠÆENE FROZY 350 g;3209;Frozy;0,3500;kg;4,49;12,83;;;4,49;3859889284325;Hrana
PROLJETNI PRIPRAV.FROZY 350 g;3218;Frozy;0,3500;kg;3,35;9,57;;;2,99;3859889284196;Hrana
JUŠNE CROUTONS KOCKICE 100 g;3273;;0,1000;kg;1,99;19,90;;;2,19;4000186040407;Hrana
JUŠNE CROUTONS KO.ZAÈINI 100 g;3278;;0,1000;kg;2,19;21,90;;;2,19;4000186040421;Hrana
JUŠNE CROUTONS KO.LUK/ÈEŠ.100g;3284;;0,1000;kg;1,99;19,90;;;2,19;4000186040506;Hrana
PALENTA ZLATO POLJE VREÆ.450 g;3293;Zlato Polje;0,4500;kg;1,19;2,64;;;1,49;3838700540147;Hrana
PALENTA ZLATO POLJE VREÆ.250 g;3294;Zlato Polje;0,2500;kg;0,99;3,96;;;0,99;3838700540116;Hrana
TJEST.FLAVIO SPAGHETTI 500 g;3479;Flavio;0,5000;kg;1,09;2,18;;;1,09;8025202002418;Hrana
TJES.FLAVIO FUSILLI 500 g ;3483;Flavio;0,5000;kg;1,85;3,70;;;1,85;8025202002500;Hrana
TJES.FLAVIO PENNE RIGATE 500 g;3486;Flavio;0,5000;kg;1,85;3,70;;;1,85;8025202002470;Hrana
TJES.FLAVIO PIPE RIGATE 500 g;3487;Flavio;0,5000;kg;1,85;3,70;;;1,85;8025202002463;Hrana
ÈOKOLADA RIKI RIŽA ORIG.300 g;3500;Riki;0,3000;kg;5,29;17,63;;;5,29;3858881040472;Hrana
ÈOKOLADA RIKI RIŽA ORIG.200 g;3502;Riki;0,2000;kg;3,85;19,25;;;3,85;3858881040458;Hrana
ÈOKO.ZA KUH.DESSERT CHEF 100 g;3528;Kandit;0,1000;kg;2,19;21,90;;;1,99;3858881040335;Hrana
ÈOKO.ZA KUH.DESSERT CHEF 200 g;3530;Kandit;0,2000;kg;3,99;19,95;;;3,79;3858881040298;Hrana
BOMB.MENTOL ZELENI KANDI.100 g;3552;Kandit;0,1000;kg;0,85;8,50;;;0,85;3858881043466;Hrana
BRIT.WILKINSON PRON.JEDN.5/1;3599;Wilkinson;1,0000;kom;1,99;1,99;;;1,99;4027800080137;Kozmetika
BRIT.WILKINSON DUPLO JEDNO.5/1;3601;Wilkinson;1,0000;kom;2,79;2,79;;;2,99;40278063;Kozmetika
BRIJ.WILKINSON EXTRA 2 SEN.5+2;3605;Wilkinson;5,0000;kom;4,59;0,92;;;4,59;4027800348206;Kozmetika
PATRONE WILKINSON BLISTER 5/1;3607;Wilkinson;5,0000;kom;1,49;0,30;;;1,49;4027800095933;Kozmetika
ÈOK.RITTER SP.RUM-LJE.GR.100 g;3621;Ritter Sport;0,1000;kg;;19,90;1,99;2,39;1,79;4000417012005;Hrana
ÈOK.RITTER SPORT PRALINE 100 g;3626;Ritter;0,1000;kg;;19,90;1,99;2,39;1,79;4000417026002;Hrana
KEKS GRIESSON DUO KAKAO 500 g;3652;Griesson;0,5000;kg;3,69;7,38;;;3,69;4001518117170;Hrana
KEKS GRIESSON COOK.CLAS.150 g ;3715;Griesson;0,1500;kg;2,39;15,93;;;2,39;4001518116999;Hrana
OCAT ACETO BALSAM.DUOMO 250 ml;3733;;0,2500;L;3,49;13,96;;;3,49;8014347000458;Hrana
OCAT ACETO BALSAM.DUOMO 500 ml;3734;Il Torrione;0,5000;l;3,99;7,98;;;3,99;8014347000465;Hrana
BRIT.WILKINSON EXTR.2 BEA.5+2;3782;Wilkinson;5,0000;kom;4,59;0,92;;;4,59;4027800576159;Kozmetika
KAVA MLJEVENA GLORIA 500 g;3860;Gloria;0,5000;kg;;14,98;7,49;9,49;9,49;3858881088184;Piæa
KAVA GLORIA 250 g;3876;Gloria;0,2500;kg;5,09;20,36;;;5,09;3858881084872;Piæa
Peršin list rfs;3920;;1,0000;kg;5,99;5,99;;;5,99;3859891904297;Hrana
KUKURUZ ŠEÆ.BONDUELLE 170 g;3944;Bonduelle;0,1400;kg;1,23;8,79;;;1,23;3083680074094;Hrana
KUKURUZ ŠEÆ.BONDUELLE 530 g;3956;Bonduelle;0,3600;kg;2,79;7,75;;;2,79;3083680015424;Hrana
KUKURUZ ŠEÆ.BONDUELLE 670 g;3969;Bonduelle;0,5700;kg;3,89;6,82;;;3,89;3083681024258;Hrana
Poriluk rfs;3987;Vlastite potrebe;1,0000;kg;1,79;1,79;;;1,99;3858893251484;Hrana
Radiè rfs;3996;;1,0000;kg;2,49;2,49;;;4,99;3858885877265;Hrana
Luk žuti rfs;4015;Vlastite potrebe;1,0000;kg;0,84;0,84;;;0,84;3858885871041;Hrana
Rajèica rfs;4018;;1,0000;kg;1,99;1,99;;;2,49;3858885877289;Hrana
Paprika babura rfs;4025;;1,0000;kg;2,29;2,29;;;3,99;3858885876060;Hrana
Dinja rfs;4037;;1,0000;kg;1,99;1,99;;;3,49;3858893251545;Hrana
GRAŠAK BONDUELLE 200 g;4055;Bonduelle;0,1300;kg;1,65;12,69;;;1,65;3083680538404;Hrana
GRAŠAK BONDUELLE 400 g ;4057;Bonduelle;0,2650;kg;1,89;7,13;;;1,89;3083680047364;Hrana
GRAŠAK BONDUELLE 800 g;4063;Bonduelle;0,5300;kg;3,39;6,40;;;3,39;3083680004275;Hrana
GRAH BONDUELLE BIJELI 400 g;4106;Bonduelle;0,2400;kg;2,49;10,38;;;2,49;3083680001663;Hrana
ZUB.PASTA AQUAFRESH 75 ml;4126;Aquafresh;0,0750;L;2,35;31,33;;;2,19;5999518578048;Kozmetika
ZUB.PASTA AQUAFRESH 75 ml;4132;Aquafresh;0,0750;L;2,35;31,33;;;2,19;5054563198457;Kozmetika
GRAH BONDUELLE CRVENI 400 g;4134;Bonduelle;0,2400;kg;2,79;11,63;;;2,79;3083680009508;Hrana
ZUB.PAS.AQUAFRESH MILD 100 ml;4143;Aquafresh;0,1000;L;2,85;28,50;;;2,69;5054563197993;Kozmetika
ZUB.PAS.AQUAFRESH FRESH 100 ml;4147;Aquafresh;0,1000;L;2,85;28,50;;;2,69;5999518578062;Kozmetika
GRAH BONDUELLE MEXICANA 430 g;4170;Bonduelle;0,2000;kg;2,08;10,40;;;2,09;3083680495882;Hrana
ŽVAKE ORBIT DRAŽ.PEPERMIN.14 g;4211;Wrigley;0,0140;kg;,99;70,71;;;0,99;50173204;Hrana
ŽVAKE ORBIT DRAŽEJE WINT.14 g;4213;Wrigley;0,0140;kg;,99;70,71;;;0,99;50173976;Hrana
ŽV.ORBIT DRAŽ.SPEARMINT 14 g;4216;Wrigley;0,0140;kg;,99;70,71;;;0,99;50173822;Hrana
ŽVAKE ORBIT DRAŽEJE FRESH.14 g;4231;Wrigley;0,0140;kg;0,99;70,71;;;0,99;42069942;Hrana
ŽVAKE ORBIT SWEET MINT 14 g;4237;Wrigley;0,0140;kg;,99;70,71;;;0,99;50173808;Hrana
ÈETK.ZA ZUBE AQUAFRESH ;4245;Aquafresh;1,0000;kom;2,79;2,79;;;2,69;5054563932327;Kozmetika
ÈETK.ZA ZUBE AQUAFRESH DJ.;4267;Aquafresh;1,0000;kom;3,59;3,59;;;3,59;5054563125439;Kozmetika
ÈETK.ZA ZUBE AQF.LITTLE TEETH;4269;Aquafresh;1,0000;kom;3,59;3,59;;;3,59;5054563210487;Kozmetika
ŽVAKE AIRWAVES DRAŽEJE 14 g;4289;Wrigley;0,0140;kg;,99;70,71;;;0,99;50173167;Hrana
ŽVAKE AIRWAVES CR.RIB.DR.14 g;4291;Wrigley;0,0140;kg;,99;70,71;;;0,99;42070047;Hrana
ŽVAKE AIRWAVES BL.MINT DR.14 g;4297;Wrigley;0,0160;kg;,99;61,88;;;0,99;42101925;Hrana
TABLETE ZA ÈIŠ.PROTEZE COREGA;4314;Corega;30,0000;kom;6,19;0,21;;;6,19;5054563213013;Kozmetika
KREMA COREGA EXTR.STRONG 40 ml;4320;Corega;1,0000;kom;5,99;5,99;;;5,99;5999518572060;Kozmetika
ZUB.PASTA PARODONTAX 75 ml;4340;Parodontax;0,0750;L;;42,53;3,19;5,85;5,45;5054563949738;Kozmetika
ZUB.PASTA PARODONTAX 75 ml;4348;Parodontax;0,0750;L;;42,53;3,19;5,85;5,45;5054563058225;Kozmetika
ZUB.PASTA SENSODYNE 75 ml;4356;Sensodyne;0,0750;L;5,95;79,33;;;3,95;5054563186904;Kozmetika
CIKLA NATURETA 530 g ;4367;Natureta;0,3700;kg;2,19;5,92;;;2,29;3830003054338;Hrana
ZUB.PASTA SENSODYNE 75 ml;4379;Sensodyne;0,0750;L;5,95;79,33;;;3,95;5054563232908;Kozmetika
CEDEVITA LIMUN 200 g;4388;Cedevita;0,2000;kg;2,19;10,95;;;2,09;3850322003534;Piæa
UMAK CHIO TORTIL.SALSA 200 ml;4394;Chio;0,2000;l;3,49;17,45;;;3,49;4001242108215;Hrana
NAMAZ STDALFOUR MARELICA 284 g;4397;St Dalfour;0,2840;kg;4,59;16,16;;;4,69;3492390007290;Hrana
NAMAZ ST.DALFOUR JAGODA 284 g;4407;St Dalfour;0,2840;kg;4,59;16,16;;;4,69;3492390007443;Hrana
SRE.FROSCH PROTIV KAMENCA 1 L ;4408;Frosch;1,0000;L;2,99;2,99;;;2,99;4009175138965;Sredstva za èišæenje
NAM.ST.DALFOUR 4 VR.VOÆ.284 g ;4413;St Dalfour;0,2840;kg;4,59;16,16;;;4,69;3492390007382;Hrana
NAMA.ST.DALFOUR BRUS.BOR.284 g;4415;St Dalfour;0,2840;kg;4,59;16,16;;;4,99;3492390007320;Hrana
NAM.ST.DALFOUR CR.RIBIZL 284 g;4419;St Dalfour;0,2840;kg;4,59;16,16;;;4,69;3492390007313;Hrana
PANIR.SURIMI RAÈIÆI VICI 170 g;4428;Vici;0,1700;kg;2,29;13,47;;;2,29;4770190036214;Hrana
KREMA ERDAL CRNA U TUBI 60 ml;4432;Erdal;0,0600;L;2,35;39,17;;;2,35;4009175111531;Proizvodi za kuæanstvo
KREMA ERDAL CRNA 55 ml;4435;Erdal;0,0550;L;1,95;35,45;;;1,95;4009175111449;Proizvodi za kuæanstvo
BOMBONI RONDO C CLASSIC 28 g;4446;Rondo C;0,0280;kg;0,69;24,64;;;0,59;38502934;Hrana
KRASTAVCI DROGA 670 g;4494;Droga Kolinska;0,3500;kg;2,79;7,97;;;2,79;3830042561934;Hrana
PAPRIKA DROGA FILETI 620 g;4503;Droga Kolinska;0,3600;kg;3,19;8,86;;;3,19;3830042562337;Hrana
CIKLA DROGA 670 g;4508;Droga Kolinska;0,4000;kg;2,49;6,23;;;2,49;3830042562375;Hrana
Blitva rfs;4510;;1,0000;kg;2,49;2,49;;;2,49;3858893251552;Hrana
Celer korijen;4517;;1,0000;kg;;0,49;0,49;0,55;1,19;3858885876312;Hrana
Celer list;4518;;1,0000;kg;3,99;3,99;;;3,99;845;Hrana
Ðumbir rfs;4524;;1,0000;kg;4,49;4,49;;;4,49;3858885879207;Hrana
AROMA BANANA AROMAR 15 ml;4563;Aromar;0,0150;l;1,69;112,67;;;1,59;3859888333062;Hrana
AROMA JAGODA AROMAR 15 ml;4581;Aromar;0,0150;l;1,69;112,67;;;1,59;3859888333031;Hrana
AROMA MALINA AROMAR 15 ml;4587;;0,0150;l;1,69;112,67;;;1,59;3859888333048;Hrana
KRUH RAŽENI MJEŠANI 400 g/PAK;4588;;0,4000;kg;1,25;3,13;;;1,25;3859888640689;Hrana
AROMA NARANÈA AROMAR 15 ml;4590;;0,0150;l;1,69;112,67;;;1,59;3859888333109;Hrana
AROMA RUM AROMAR 15 ml ;4592;Aromar;0,0150;l;1,69;112,67;;;1,59;3859888333017;Hrana
AROMA VANILIJA AROMAR 15 ml;4594;Aromar;0,0150;l;1,69;112,67;;;1,59;3859888333024;Hrana
NAMAZ NATURETA  PAPRIKA 290 g;4626;Natureta;0,2900;kg;3,59;12,38;;;3,99;3830003054413;Hrana
OCAT VINSKI KISKO  0,5 L 6%;4628;Kisko;0,5000;l;1,49;2,98;;;1,49;3850164321148;Hrana
OCAT VINSKI KISKO 6% 1 L;4638;Kisko;1,0000;l;2,09;2,09;;;2,09;3850164321117;Hrana
OCAT JABUÈNI KISKO 0,5L 5%;4642;Kisko;0,5000;l;1,49;2,98;;;1,49;3850164340149;Hrana
OCAT JABUÈNI KISKO 5% 1 L;4644;Kisko;1,0000;l;2,09;2,09;;;2,09;3850164340118;Hrana
OCAT ALKOHOLNI KISKO 9% 1 L;4648;Kisko;1,0000;l;1,29;1,29;;;1,29;3850164310111;Hrana
OCAT ALKOHOLNI KISKO 9% 3 L;4651;Kisko;3,0000;l;3,59;1,20;;;3,59;3850164310180;Hrana
OCAT ALKOHOLNI KISKO 9% 5 L;4655;Kisko;5,0000;l;5,59;1,12;;;5,59;3850164310197;Hrana
OCAT ALKOHOLNI KISKO 9% 0,5 L;4657;Kisko;0,5000;l;1,05;2,10;;;1,05;3850164310142;Hrana
OCAT VINSKI KISKO 6% 1 L;4659;Kisko;1,0000;l;2,09;2,09;;;2,09;3850164331116;Hrana
ZAÈIN ORIGANO ŠAFRAM 150g;4676;Safram;0,1500;kg;2,91;19,40;;;2,91;3859888163225;Hrana
BADEM NPS NATURA 100 g;4690;Natura;0,1000;kg;2,49;24,90;;;2,49;3859890587309;Hrana
PIŠKOTE MANNER 200 g;4704;Manner;0,2000;kg;2,89;14,45;;;2,89;9000331608013;Hrana
ÈOK.CASALI BANANE 300 g;4720;Manner;0,3000;kg;5,29;17,63;;;4,59;9000332812822;Hrana
ZAÈIN ORIGANO ŠAFRAM 5g;4746;;0,0050;kg;0,49;98,00;;;0,47;3859888163140;Hrana
ZAÈ.BILJ.LOVOR LIST ŠAFRAM 50g;4750;Safram;0,0500;kg;2,49;49,80;;;2,52;3859890104162;Hrana
LOSION OLD SP.WHITEWAT.100 ml;4754;Old Spice;0,1000;L;7,79;77,90;;;7,79;5000174440256;Kozmetika
ZAÈ.BILJ.LOVOR LIST ŠAFRAM 10g;4756;;0,0100;kg;,79;79,00;;;0,79;3859888163690;Hrana
ZAÈIN MJ.FIŠ BLAGI ŠAFRAM 90g;4763;;0,0900;kg;1,32;14,67;;;1,32;3859888163126;Hrana
ZAÈIN MJ.FIŠ LJUTI ŠAFRAM 90g;4771;Safram;0,0900;kg;1,32;14,67;;;1,32;3859890104223;Hrana
VOSAK ÈUPKO MED 270 g;4794;Cupko;0,2700;kg;3,99;14,78;;;4,51;3859888495081;Kozmetika
VOSAK ÈUPKO ZA TOPLU DEP.100 g;4816;Cupko;0,1000;kg;5,19;51,90;;;4,99;3859888495005;Kozmetika
TRAKE ZA DEPILACIJU ÈUPKO 16/1;4831;Cupko;16,0000;kom;4,39;0,27;;;4,11;3859888495029;Kozmetika
TRAKE ZA DEPILA.LICA ÈUP 16/1;4835;Cupko;16,0000;kom;3,59;0,22;;;3,86;3859888495074;Kozmetika
TRAKE BEZ VOSKA ÈUPKO 20/1;4838;Cupko;20,0000;kom;2,09;0,10;;;2,18;3859888495128;Kozmetika
ÈOKOLADA BOUNTY 57 g;4859;Bounty;0,0570;kg;1,39;24,39;;;1,39;5000159557771;Hrana
ZAÈ.PAPAR CRNI ZRN.ŠAFRAM 50 g;4874;Safram;0,0500;kg;2,25;45,00;;;2,25;3859888163119;Hrana
INDIJSKI ORAH NATURA 150 g;4915;Natura;0,1500;kg;4,24;28,27;;;4,24;3859890587224;Hrana
ZAÈIN PAPAR BIJ.MLJ.ŠAFRAM 20g;4942;Safram;0,0200;kg;1,25;62,50;;;1,25;3859888163836;Hrana
ZAÈ.PAPAR CRN.MLJ.ŠAFRAM 100 g;4953;Safram;0,1000;kg;2,91;29,10;;;2,91;3859888163034;Hrana
MAK MLJEVENI NATURA 200 g;4956;Marjan Voce;0,2000;kg;2,19;10,95;;;2,12;3859890587354;Hrana
ZAÈ.PAPAR CRNI MLJ.ŠAFRAM 50 g;4958;Safram;0,0500;kg;1,89;37,80;;;1,89;3859888163089;Hrana
ZAÈIN PAPAR CRN.MLJ.ŠAFRAM 10g;4963;;0,0100;kg;0,49;49,00;;;0,59;3859888163096;Hrana
ÈOKOLADA MILKY WAY MILK 21,5 g;4967;Milky Way;0,0220;kg;0,79;35,91;;;0,79;5000159550567;Hrana
ZAÈIN PAPRIKA MLJEV.ŠAFRAM 25g;4968;;0,0250;kg;0,86;34,40;;;0,86;3859888163256;Hrana
ZAÈ.PAPRIKA LJUTA ŠAFRAM 500 g;4983;;0,5000;kg;8,39;16,78;;;7,96;3859890104124;Hrana
ZAÈ.PAPRIKA ŠAFRAM LJUTA 100g;4995;Safram;0,1000;kg;1,99;19,90;;;1,79;3859888163058;Hrana
ZAÈ.PAPRIKA SLATK.ŠAFRAM 500 g;5005;;0,5000;kg;8,39;16,78;;;7,96;3859890104117;Hrana
ZAÈ.PAPRIKA SLAT.ŠAFRAM 200 g;5006;;0,2000;kg;3,59;17,95;;;3,31;3859888163072;Hrana
ZAÈ.PAPRIKA ŠAFRAM SLATKA 100g;5009;;0,1000;kg;1,99;19,90;;;1,79;3859888163065;Hrana
ZAÈ.PAPRIKA DELIK.ŠAFRAM100 g;5011;;0,1000;kg;2,29;22,90;;;1,98;3859888163317;Hrana
NIC NACS LORENZ KIKIRIKI 125 g;5012;Lorenz;0,1250;kg;2,39;19,12;;;2,89;4017100759000;Hrana
NAPOLITANKE JADRO 200 g;5014;Jadro;0,2000;kg;1,79;8,95;;;1,79;3850102522484;Hrana
NAPOLITANKE JADRO 430 g;5015;Jadro;0,4300;kg;3,19;7,42;;;3,19;3850102522545;Hrana
NAPOLITANKE JADRO 860 g;5016;Jadro;0,8600;kg;4,99;5,80;;;4,99;3850102522514;Hrana
PALENTA INSTANT ŠAFRAM 450 g;5018;;0,4500;kg;1,19;2,64;;;1,19;3859890104001;Hrana
NAPOLIT.JADRO KOK./ÈOK.430 g ;5019;Jadro;0,4300;kg;3,19;7,42;;;3,29;3850102522552;Hrana
CROISSANT 7 DAY S MINI 60 g;5041;7 Day's;0,0600;kg;1,08;18,00;;;0,91;7622202215322;Hrana
TABL.ANITRA ZA VODOKOTLIÆ  1/1;5068;Anitra;1,0000;kom;4,09;4,09;;;2,19;8002030114452;Sredstva za èišæenje
ZAÈIN CIMET MLJEV.KOTANYI 45 g;5101;Kotanyi;0,0450;kg;2,99;66,44;;;2,49;9001414040553;Hrana
ZAÈIN BOSILJAK KOTANYI 15 g;5112;;0,0150;kg;2,19;146,00;;;1,98;9001414041819;Hrana
ZAÈ.MAJÈI.DUŠ.TIM.KOTANYI 19 g;5118;;0,0190;kg;2,19;115,26;;;1,98;9001414040515;Hrana
ZAÈIN RUŽMARIN KOTANYI 35 g;5121;;0,0350;kg;2,19;62,57;;;1,98;9001414041871;Hrana
ZAÈ.MAŽURAN USIT.KOTANYI 10 g;5126;;0,0100;kg;2,19;219,00;;;1,98;9001414040287;Hrana
ZAÈ.PERŠIN KOTANYI GAST.100 g;5148;Kotanyi;0,1000;kg;7,59;75,90;;;6,99;9001414024560;Hrana
ZAÈ.ORIGANO MRV.KOTANYI 135 g;5151;Kotanyi;0,1350;kg;8,49;62,89;;;8,49;9001414024539;Hrana
CROISSSANT 7 DAY S MIDI 60 g;5160;7 Day's;0,0600;kg;0,85;14,17;;;0,85;7622201388409;Hrana
